07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/11/2018,THE BEER STORE #4608,13.50,,195.93
07/12/2018,PAYMENT - THANK YOU,,200.00,-4.07
07/14/2018,DOMINO'S PIZZA #10503,24.84,,20.77
07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/12/2018,PAYMENT - THANK YOU,,200.00,-4.07
07/14/2018,DOMINO'S PIZZA #10503,24.84,,20.77
07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/12/2018,PAYMENT - THANK YOU,,200.00,-4.07
07/14/2018,DOMINO'S PIZZA #10503,24.84,,20.77
07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/12/2018,PAYMENT - THANK YOU,,200.00,-4.07
07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/11/2018,THE BEER STORE #4608,13.50,,195.93